struc2vec-- user OID-10185: reputation-14374, upvote-154, downvote-11.
struc2vec-- user OID-3846: reputation-10203, upvote-66, downvote-1.
struc2vec-- user OID-141: reputation-101, upvote-2, downvote-0.

Target user OID-32: reputation-3338, upvote-2, downvote-9.
CHAWE-- user OID-144: reputation-981, upvote-0, downvote-0.
CHAWE-- user OID-61: reputation-520, upvote-5, downvote-0.
CHAWE-- user OID-7957: reputation-447, upvote-0, downvote-0.
CHAWE-- user OID-16382: reputation-101, upvote-3, downvote-0.
CHAWE-- user OID-344: reputation-193, upvote-6, downvote-0.
HAWE-- user OID-8083: reputation-4839, upvote-4, downvote-0.
HAWE-- user OID-17942: reputation-171, upvote-2, downvote-0.
HAWE-- user OID-75345: reputation-1455, upvote-9, downvote-0.
HAWE-- user OID-13199: reputation-151, upvote-3, downvote-1.
HAWE-- user OID-485: reputation-20140, upvote-1, downvote-0.
hin2vec-- user OID-107: reputation-536, upvote-5, downvote-1.
hin2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
hin2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
hin2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
hin2vec-- user OID-20662: reputation-63, upvote-0, downvote-0.
node2bits-- user OID-4586: reputation-101, upvote-0, downvote-0.
node2bits-- user OID-13199: reputation-151, upvote-3, downvote-1.
node2bits-- user OID-101286: reputation-695, upvote-7, downvote-5.
node2bits-- user OID-107: reputation-536, upvote-5, downvote-1.
node2bits-- user OID-5075: reputation-443, upvote-0, downvote-0.
deepWalk-- user OID-107: reputation-536, upvote-5, downvote-1.
deepWalk-- user OID-11: reputation-2525, upvote-14, downvote-2.
deepWalk-- user OID-30: reputation-22647, upvote-104, downvote-9.
deepWalk-- user OID-22: reputation-14408, upvote-248, downvote-8.
deepWalk-- user OID-17541: reputation-1886, upvote-0, downvote-0.
struc2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
struc2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
struc2vec-- user OID-65: reputation-201, upvote-40, downvote-1.
struc2vec-- user OID-162: reputation-1, upvote-0, downvote-0.
struc2vec-- user OID-8083: reputation-4839, upvote-4, downvote-0.

Target user OID-11: reputation-2525, upvote-14, downvote-2.
CHAWE-- user OID-108: reputation-99, upvote-6, downvote-2.
CHAWE-- user OID-7499: reputation-12358, upvote-10, downvote-0.
CHAWE-- user OID-5075: reputation-443, upvote-0, downvote-0.
CHAWE-- user OID-22990: reputation-103, upvote-0, downvote-0.
CHAWE-- user OID-107: reputation-536, upvote-5, downvote-1.
HAWE-- user OID-5677: reputation-7146, upvote-64, downvote-50.
HAWE-- user OID-4356: reputation-4390, upvote-167, downvote-10.
HAWE-- user OID-27588: reputation-636, upvote-5, downvote-0.
HAWE-- user OID-865: reputation-9759, upvote-391, downvote-98.
HAWE-- user OID-108: reputation-99, upvote-6, downvote-2.
hin2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
hin2vec-- user OID-32: reputation-3338, upvote-2, downvote-9.
hin2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
hin2vec-- user OID-107: reputation-536, upvote-5, downvote-1.
hin2vec-- user OID-17942: reputation-171, upvote-2, downvote-0.
node2bits-- user OID-4356: reputation-4390, upvote-167, downvote-10.
node2bits-- user OID-1327: reputation-473, upvote-5, downvote-1.
node2bits-- user OID-9757: reputation-4456, upvote-133, downvote-2.
node2bits-- user OID-3846: reputation-10203, upvote-66, downvote-1.
node2bits-- user OID-10185: reputation-14374, upvote-154, downvote-11.
deepWalk-- user OID-61: reputation-520, upvote-5, downvote-0.
deepWalk-- user OID-144: reputation-981, upvote-0, downvote-0.
deepWalk-- user OID-22: reputation-14408, upvote-248, downvote-8.
deepWalk-- user OID-32: reputation-3338, upvote-2, downvote-9.
deepWalk-- user OID-6943: reputation-480, upvote-4, downvote-0.
struc2vec-- user OID-5677: reputation-7146, upvote-64, downvote-50.
struc2vec-- user OID-1327: reputation-473, upvote-5, downvote-1.
struc2vec-- user OID-4356: reputation-4390, upvote-167, downvote-10.
struc2vec-- user OID-15133: reputation-1442, upvote-25, downvote-0.
struc2vec-- user OID-113: reputation-101, upvote-3, downvote-1.

Target user OID-61: reputation-520, upvote-5, downvote-0.
CHAWE-- user OID-7957: reputation-447, upvote-0, downvote-0.
CHAWE-- user OID-144: reputation-981, upvote-0, downvote-0.
CHAWE-- user OID-32: reputation-3338, upvote-2, downvote-9.
CHAWE-- user OID-344: reputation-193, upvote-6, downvote-0.
CHAWE-- user OID-16382: reputation-101, upvote-3, downvote-0.
HAWE-- user OID-144: reputation-981, upvote-0, downvote-0.
HAWE-- user OID-172: reputation-101, upvote-2, downvote-0.
HAWE-- user OID-12849: reputation-341, upvote-0, downvote-0.
HAWE-- user OID-36153: reputation-578, upvote-1, downvote-0.
HAWE-- user OID-64936: reputation-101, upvote-1, downvote-0.
hin2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
hin2vec-- user OID-32: reputation-3338, upvote-2, downvote-9.
hin2vec-- user OID-65: reputation-201, upvote-40, downvote-1.
hin2vec-- user OID-20662: reputation-63, upvote-0, downvote-0.
hin2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
node2bits-- user OID-144: reputation-981, upvote-0, downvote-0.
node2bits-- user OID-172: reputation-101, upvote-2, downvote-0.
node2bits-- user OID-675: reputation-3389, upvote-0, downvote-0.
node2bits-- user OID-7434: reputation-1557, upvote-6, downvote-0.
node2bits-- user OID-24265: reputation-193, upvote-0, downvote-0.
deepWalk-- user OID-11: reputation-2525, upvote-14, downvote-2.
deepWalk-- user OID-22: reputation-14408, upvote-248, downvote-8.
deepWalk-- user OID-144: reputation-981, upvote-0, downvote-0.
deepWalk-- user OID-56070: reputation-251, upvote-1, downvote-0.
deepWalk-- user OID-1055: reputation-639, upvote-4, downvote-0.
struc2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
struc2vec-- user OID-65: reputation-201, upvote-40, downvote-1.
struc2vec-- user OID-32: reputation-3338, upvote-2, downvote-9.
struc2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
struc2vec-- user OID-64936: reputation-101, upvote-1, downvote-0.

Target user OID-12: reputation-2184, upvote-6, downvote-0.
CHAWE-- user OID-10: reputation-533, upvote-18, downvote-0.
CHAWE-- user OID-9757: reputation-4456, upvote-133, downvote-2.
CHAWE-- user OID-17368: reputation-19163, upvote-561, downvote-27.
CHAWE-- user OID-5456: reputation-4900, upvote-63, downvote-2.
CHAWE-- user OID-121: reputation-1693, upvote-5, downvote-0.
HAWE-- user OID-10: reputation-533, upvote-18, downvote-0.
HAWE-- user OID-5531: reputation-3576, upvote-10, downvote-10.
HAWE-- user OID-121: reputation-1693, upvote-5, downvote-0.
HAWE-- user OID-11616: reputation-4657, upvote-29, downvote-3.
HAWE-- user OID-1573: reputation-6370, upvote-12, downvote-0.
hin2vec-- user OID-107: reputation-536, upvote-5, downvote-1.
hin2vec-- user OID-10: reputation-533, upvote-18, downvote-0.
hin2vec-- user OID-4325: reputation-9997, upvote-32, downvote-6.
hin2vec-- user OID-120: reputation-101, upvote-5, downvote-0.
hin2vec-- user OID-27342: reputation-1229, upvote-12, downvote-9.
node2bits-- user OID-16035: reputation-6495, upvote-68, downvote-0.
node2bits-- user OID--1: reputation-1, upvote-13, downvote-26.
node2bits-- user OID-5531: reputation-3576, upvote-10, downvote-10.
node2bits-- user OID-69977: reputation-2454, upvote-116, downvote-11.
node2bits-- user OID-1573: reputation-6370, upvote-12, downvote-0.
deepWalk-- user OID-80019: reputation-151, upvote-1, downvote-0.
deepWalk-- user OID-7913: reputation-1913, upvote-5, downvote-0.
deepWalk-- user OID-189: reputation-16721, upvote-72, downvote-0.
deepWalk-- user OID-5541: reputation-1589, upvote-0, downvote-0.
deepWalk-- user OID-94: reputation-189, upvote-2, downvote-0.
struc2vec-- user OID-17368: reputation-19163, upvote-561, downvote-27.
struc2vec-- user OID-10: reputation-533, upvote-18, downvote-0.
struc2vec-- user OID-9961: reputation-4202, upvote-297, downvote-297.
struc2vec-- user OID-1295: reputation-101, upvote-7, downvote-0.
struc2vec-- user OID-5531: reputation-3576, upvote-10, downvote-10.

Target user OID-92: reputation-345, upvote-1, downvote-0.
CHAWE-- user OID-10203: reputation-101, upvote-0, downvote-0.
CHAWE-- user OID-47109: reputation-1082, upvote-19, downvote-0.
CHAWE-- user OID-3871: reputation-1640, upvote-5, downvote-0.
CHAWE-- user OID-58210: reputation-157, upvote-0, downvote-0.
CHAWE-- user OID-120: reputation-101, upvote-5, downvote-0.
HAWE-- user OID-10203: reputation-101, upvote-0, downvote-0.
HAWE-- user OID-27342: reputation-1229, upvote-12, downvote-9.
HAWE-- user OID-35806: reputation-20934, upvote-14, downvote-0.
HAWE-- user OID-3871: reputation-1640, upvote-5, downvote-0.
HAWE-- user OID-47109: reputation-1082, upvote-19, downvote-0.
hin2vec-- user OID-2581: reputation-941, upvote-0, downvote-0.
